Date,Open,High,Low,Close,Adj Close,Volume
2023-02-10,4.530000,4.790000,4.485000,4.770000,4.770000,4209200
2023-02-13,4.840000,4.840000,4.635000,4.710000,4.710000,2050200
2023-02-14,4.700000,4.990000,4.600000,4.960000,4.960000,3523500
2023-02-15,4.920000,5.230000,4.900000,5.160000,5.160000,4612900
2023-02-16,5.020000,5.160000,4.960000,4.970000,4.970000,2740500
2023-02-17,4.940000,4.950000,4.740000,4.910000,4.910000,3420400
2023-02-21,4.820000,4.890000,4.532000,4.580000,4.580000,3117400
2023-02-22,4.600000,4.730000,4.540000,4.620000,4.620000,4199500
2023-02-23,4.690000,4.770000,4.520000,4.550000,4.550000,3013500
2023-02-24,4.500000,4.500000,4.380000,4.450000,4.450000,2598500
2023-02-27,4.525000,4.670000,4.470000,4.590000,4.590000,3518800
2023-02-28,4.550000,4.640000,4.480000,4.500000,4.500000,4606100
2023-03-01,4.450000,4.515000,4.172000,4.400000,4.400000,6103300
2023-03-02,4.350000,4.355000,4.180000,4.240000,4.240000,4333900
2023-03-03,4.240000,4.580000,4.220000,4.570000,4.570000,4576200
2023-03-06,4.580000,4.600000,4.390000,4.430000,4.430000,3422300
2023-03-07,4.430000,4.490000,4.340000,4.400000,4.400000,2061900
2023-03-08,4.390000,4.395000,4.260000,4.290000,4.290000,2063200
2023-03-09,4.260000,4.350000,4.070000,4.080000,4.080000,2924100
2023-03-10,4.050000,4.070000,3.780000,3.910000,3.910000,6357600
2023-03-13,3.790000,4.005000,3.700000,3.940000,3.940000,4392800
2023-03-14,4.055000,4.062000,3.840000,3.890000,3.890000,3162800
2023-03-15,3.835000,3.940000,3.770000,3.920000,3.920000,3826900
2023-03-16,3.860000,4.000000,3.770000,3.960000,3.960000,2383800
2023-03-17,3.970000,4.020000,3.840000,3.880000,3.880000,3314300
2023-03-20,3.900000,3.950000,3.800000,3.850000,3.850000,3171500
2023-03-21,3.920000,3.980000,3.814000,3.950000,3.950000,2856100
2023-03-22,3.920000,3.990000,3.850000,3.850000,3.850000,2785700
2023-03-23,3.870000,3.990000,3.810000,3.850000,3.850000,2563200
2023-03-24,3.860000,3.940000,3.690000,3.930000,3.930000,4152800
2023-03-27,4.000000,4.160000,3.925000,3.930000,3.930000,2904900
2023-03-28,3.920000,3.980000,3.850000,3.890000,3.890000,1673100
2023-03-29,3.950000,3.980000,3.860000,3.960000,3.960000,2634000
2023-03-30,3.990000,4.060000,3.880000,3.950000,3.950000,2426300
2023-03-31,3.950000,4.165000,3.915000,4.040000,4.040000,3511200
2023-04-03,4.050000,4.100000,3.960000,4.040000,4.040000,1868800
2023-04-04,4.075000,4.075000,3.830000,3.870000,3.870000,3308300
2023-04-05,3.870000,3.880000,3.650000,3.670000,3.670000,4079700
2023-04-06,3.690000,3.770000,3.620000,3.770000,3.770000,3058400
2023-04-10,3.730000,4.010000,3.720000,4.000000,4.000000,4070700
2023-04-11,4.050000,4.110000,3.990000,4.070000,4.070000,2798700
2023-04-12,4.130000,4.150000,3.940000,3.960000,3.960000,2632100
2023-04-13,4.030000,4.150000,3.990000,4.110000,4.110000,2111400
2023-04-14,4.090000,4.100000,3.935000,4.020000,4.020000,2221900
2023-04-17,4.010000,4.210000,3.980000,4.140000,4.140000,2415000
2023-04-18,4.170000,4.170000,4.030000,4.080000,4.080000,2292400
2023-04-19,4.030000,4.060000,3.960000,4.000000,4.000000,2416800
2023-04-20,3.985000,4.030000,3.880000,3.950000,3.950000,3870000
2023-04-21,3.950000,4.011000,3.930000,4.000000,4.000000,2115600
2023-04-24,4.010000,4.070000,3.880000,3.920000,3.920000,2156500
2023-04-25,3.880000,3.900000,3.762000,3.810000,3.810000,2263500
2023-04-26,3.820000,3.880000,3.740000,3.770000,3.770000,2392800
